GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN000118	-1.17	-0.73	-0.76	-1.04	-1.17
AFUN002163	0.5	0.2	0.31	0.24	0.43
AFUN021782	-2.04	-1.41	-2.91	-1.7	-2.72
AFUN002583	0.75	-0.22	0.42	0.23	0.63
AFUN020437	-0.86	-0.72	-0.64	-1.01	-0.97
AFUN010737	0.8	0.44	0.83	0.68	0.85
AFUN021803	0.86	0.6	0.64	0.6	0.5
AFUN018514	-1.1	-1.93	-1.02	-0.69	-1.15
AFUN011518	1.4	1.16	1.23	1.18	1.36
AFUN019099	1.18	0.96	0.86	0.29	1.1
AFUN000993	0.58	0.47	0.33	0.34	0.44
AFUN007526	1.47	0.24	1.14	0.7	0.99
AFUN021212	-0.99	-0.84	-1.04	-1.12	-1.25
AFUN020756	0.95	1.08	0.72	0.81	0.96
AFUN008941	0.95	0.97	1.1	1.09	0.76
AFUN016679	0.73	0.34	0.58	0.34	0.7
AFUN009476	-1.09	-0.55	-0.32	-0.24	-0.16
AFUN002190	0.7	0.77	0.7	0.72	0.89
AFUN021301	0.75	1.08	0.37	0.81	0.65
AFUN003105	0.72	0.58	0.48	0.48	0.54
AFUN007588	0.67	0.72	0.51	0.57	0.58
AFUN011253	0.93	0.84	0.55	0.65	0.91
AFUN004976	-1.86	-0.85	-0.87	0.1	-1.38
AFUN008684	-0.88	-0.69	-0.56	-0.68	-0.72
AFUN008996	0.9	1.27	0.83	0.72	0.6
AFUN021766	0.83	0.85	0.71	0.75	0.86
AFUN000014	0.7	0.75	0.48	0.66	0.67
AFUN009869	0.92	0.52	0.38	0.55	0.55
AFUN005067	-0.74	-0.11	-0.21	-0.43	-0.31
AFUN009327	-0.78	-0.59	-0.82	-0.72	-0.71
AFUN016164	0.58	0.52	0.32	0.41	0.49
AFUN009993	0.52	0.59	0.34	0.41	0.47
AFUN009519	-1.4	-0.67	-1.59	-1.26	-1.35
AFUN007891	-2.99	-1.98	-1.22	-1.5	-1.57
AFUN002048	1.19	1.15	1.19	1.11	1.07
AFUN011021	-1.08	-0.97	-0.74	-0.98	-0.76
AFUN010171	1.2	0.16	0.48	0.53	0.55
AFUN019570	-5.8	-3.57	-6.82	-6.5	-7.11
AFUN018856	1.57	1.21	0.61	0.59	0.68
AFUN021657	-0.5	-0.25	-0.36	-0.32	-0.3
AFUN010447	1.36	0.66	1.06	1.0	0.99
AFUN001074	2.72	2.95	2.32	2.65	2.44
AFUN006450	0.77	0.51	0.72	0.66	0.62
AFUN007491	-2.18	-1.15	-2.48	-2.08	-2.5
AFUN018499	3.09	-0.93	2.59	1.71	2.57
AFUN003698	-0.82	-0.38	-0.98	-0.82	-0.85
AFUN010022	-0.88	-1.15	-1.15	-1.12	-0.93
AFUN019366	0.94	0.94	0.85	0.94	0.88
AFUN007357	-0.99	-0.59	-0.63	-0.79	-0.61
AFUN020886	-0.94	-0.5	-0.91	-0.96	-0.72
AFUN008559	0.59	0.49	0.42	0.33	0.37
AFUN003887	1.37	1.65	1.45	1.59	0.94
AFUN020584	-0.73	-0.33	-1.05	-0.69	-0.8
AFUN021623	-0.47	-0.59	-0.6	-0.48	-0.58
AFUN006520	1.13	0.75	0.93	0.96	0.83
AFUN020549	-1.23	-0.62	-0.91	-1.17	-1.29
AFUN008368	3.78	0.29	0.66	0.97	0.09
AFUN018863	1.45	1.01	1.14	0.59	1.24
AFUN015922	1.01	0.37	0.33	0.55	0.09
AFUN000763	1.25	0.69	1.09	1.03	1.03
