GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP010272	-0.6	-0.35	-0.35	0.24	-0.76	0.77	-0.15	1.85	1.44	-0.36	0.21	0.62	1.18	0.59	1.17	-0.22	-0.25	-2.25	-0.59	-0.15	-0.93	0.07	0.26
AGAP008504	-0.46	-0.95	-0.66	0.2	0.23	0.18	0.28	-0.49	-0.43	0.34	-0.32	0.04	-0.63	-0.2	-0.85	0.67	-0.39	0.08	-0.01	-0.03	-0.1	-0.68	0.61
AGAP006825	-0.16	-0.21	-0.25	0.14	0.54	0.28	-0.05	-0.49	-0.58	-0.47	-0.06	-0.27	0.12	-0.68	-0.27	0.18	0.38	-0.4	-0.15	-0.15	-0.19	-0.25	0.09
AGAP028154	-0.13	-0.24	-0.31	0.07	0.32	-0.33	-0.04	-0.82	-0.6	-0.25	-0.06	-0.31	-0.13	-0.6	-0.41	-0.45	0.65	-0.22	0.92	0.48	0.79	0.68	0.06
AGAP011159	0.14	0.25	0.72	-0.01	0.18	-0.51	-0.54	-0.3	-0.28	0.61	1.48	0.74	1.6	0.59	1.46	0.24	0.56	-0.81	0.46	0.3	0.68	1.65	-0.17
AGAP011479	-0.41	0.46	0.24	0.32	0.84	0.37	-0.16	-0.49	-0.54	0.41	2.17	0.42	2.17	0.55	2.31	0.28	1.18	-0.24	0.51	0.54	0.8	-0.74	0.58
AGAP002183	-0.18	0.04	-0.08	-0.03	0.15	-0.15	-0.22	-0.09	0.02	0.16	0.15	0.26	0.24	0.19	0.18	-0.15	0.25	0.19	0.03	-0.07	0.02	0.02	0.34
AGAP008112	1.72	1.11	-0.46	0.5	0.99	-1.99	-2.15	-1.2	-1.39	1.76	1.16	1.28	0.67	0.58	-0.03	1.11	0.89	0.46	-1.83	-0.8	0.67	-1.38	-0.5
AGAP001569	0.19	1.13	-0.22	0.09	-0.11	-0.1	0.15	-0.16	-0.4	0.58	1.67	0.65	1.72	0.45	1.54	0.58	0.24	-1.36	0.52	0.31	1.06	1.16	0.2
AGAP000576	0.17	-0.15	-0.21	-0.16	-0.13	0.55	0.87	0.18	0.21	-0.52	-0.08	-0.39	0.04	-0.43	0.01	-0.19	0.25	-0.18	-0.3	-0.34	-0.43	-0.15	0.42
AGAP010592	0.12	0.1	-0.04	-0.15	0.03	0.11	-0.28	-0.04	0.04	0.24	0.05	0.32	0.11	0.18	-0.02	0.2	0.22	-0.15	-0.2	-0.02	-0.29	0.42	-0.22
AGAP003602	-0.24	0.04	-0.29	-0.04	0.6	0.27	-0.92	-1.1	-1.14	0.71	-0.36	0.53	-0.56	0.33	-0.75	0.16	0.64	-0.05	0.23	0.87	0.3	-0.64	-0.52
AGAP000179	0.21	0.24	0.87	0.03	0.14	0.38	1.61	0.97	0.56	0.79	0.11	0.9	0.2	0.33	-0.35	-0.43	-0.04	-0.59	0.24	0.26	0.11	0.27	-0.39
AGAP008523	-0.38	-0.01	0.46	-0.73	-0.13	0.07	0.03	-0.05	0.14	0.03	-0.82	0.1	-0.76	0.8	-0.04	-0.19	-0.1	0.04	-0.45	-0.25	-0.49	0.08	-0.54
AGAP009466	-0.25	-0.02	0.06	-0.47	-0.01	-0.07	-0.02	0.44	-0.07	0.21	0.17	0.4	0.35	0.18	0.14	0.05	0.6	-0.23	-0.12	-0.05	-0.01	0.44	0.02
